latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
20.81173,-156.50966,339.3,0.73,0.76,2024-11-15,34,N,VIIRS,n,2.0NRT,295.81,6.24,D
71.86745,71.83591,330.68,0.6,0.53,2024-11-15,56,N,VIIRS,n,2.0NRT,248.51,5.23,N
58.61324,31.22731,338.17,0.42,0.45,2024-11-15,102,N,VIIRS,n,2.0NRT,279.17,5.67,N
64.64285,24.42303,300.61,0.38,0.36,2024-11-15,102,N,VIIRS,n,2.0NRT,268.95,1.26,N
64.64599,24.42578,310.42,0.38,0.36,2024-11-15,102,N,VIIRS,n,2.0NRT,270.6,1.26,N
51.46307,6.74501,296.1,0.44,0.46,2024-11-15,104,N,VIIRS,n,2.0NRT,278.82,0.76,N
51.46354,6.73863,296.41,0.44,0.46,2024-11-15,104,N,VIIRS,n,2.0NRT,278.39,0.76,N
51.48303,6.71011,295.57,0.44,0.46,2024-11-15,104,N,VIIRS,n,2.0NRT,276.51,1.13,N
51.48731,6.71098,306.19,0.44,0.46,2024-11-15,104,N,VIIRS,n,2.0NRT,280.54,1.13,N
51.48964,6.73737,315.94,0.44,0.46,2024-11-15,104,N,VIIRS,n,2.0NRT,278.64,1.58,N
51.49391,6.73824,297.84,0.44,0.46,2024-11-15,104,N,VIIRS,n,2.0NRT,278.32,1.58,N
51.49916,6.72624,295.42,0.44,0.46,2024-11-15,104,N,VIIRS,n,2.0NRT,279.2,1.32,N
53.39591,-1.38793,296.71,0.49,0.65,2024-11-15,104,N,VIIRS,n,2.0NRT,274.25,0.59,N
53.52143,18.83833,303.47,0.39,0.36,2024-11-15,104,N,VIIRS,n,2.0NRT,270.3,0.77,N
53.56876,-0.60241,315.1,0.46,0.63,2024-11-15,104,N,VIIRS,n,2.0NRT,275.4,1.94,N
58.27818,6.89268,318.89,0.5,0.49,2024-11-15,104,N,VIIRS,n,2.0NRT,275.57,3.05,N
45.12354,25.41975,306.91,0.32,0.55,2024-11-15,106,N,VIIRS,n,2.0NRT,272.29,0.71,N
45.14566,9.94589,298.73,0.43,0.38,2024-11-15,106,N,VIIRS,n,2.0NRT,277.55,1.72,N
45.14635,9.94044,322.45,0.43,0.38,2024-11-15,106,N,VIIRS,n,2.0NRT,279.5,1.72,N
45.38092,11.94917,305.94,0.39,0.36,2024-11-15,106,N,VIIRS,n,2.0NRT,277.1,1.24,N
45.46083,10.45577,302.75,0.42,0.38,2024-11-15,106,N,VIIRS,n,2.0NRT,277.39,1.21,N
45.47845,10.2099,313.79,0.42,0.38,2024-11-15,106,N,VIIRS,n,2.0NRT,277.59,1.44,N
45.50953,10.24605,302,0.42,0.38,2024-11-15,106,N,VIIRS,n,2.0NRT,277.9,1.22,N
46.22969,13.07431,304.79,0.39,0.36,2024-11-15,106,N,VIIRS,n,2.0NRT,274.31,0.71,N
46.42229,14.09544,304.75,0.38,0.36,2024-11-15,106,N,VIIRS,n,2.0NRT,272.34,1.11,N
51.04478,2.32302,300.09,0.33,0.56,2024-11-15,106,N,VIIRS,n,2.0NRT,278.43,0.81,N
51.04498,2.31815,301.06,0.33,0.56,2024-11-15,106,N,VIIRS,n,2.0NRT,277.35,1.26,N
37.0451,14.29137,329.14,0.45,0.39,2024-11-15,109,N,VIIRS,n,2.0NRT,284.6,2.72,N
