latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-12.66009,28.10328,298.16,0.35,0.57,2024-11-14,0,N,VIIRS,n,2.0NRT,285.15,0.6,N
-11.44655,29.59171,297.07,0.43,0.62,2024-11-14,0,N,VIIRS,n,2.0NRT,278.86,0.89,N
-11.22835,27.88762,305.57,0.33,0.55,2024-11-14,0,N,VIIRS,n,2.0NRT,278.65,0.64,N
-8.88485,26.08685,314.02,0.46,0.47,2024-11-14,0,N,VIIRS,n,2.0NRT,292.17,1.87,N
-8.41408,26.61159,300.76,0.49,0.49,2024-11-14,0,N,VIIRS,n,2.0NRT,277.52,0.36,N
-19.47975,22.84919,302.14,0.4,0.44,2024-11-14,2,N,VIIRS,n,2.0NRT,285.69,0.49,N
-18.82235,22.41162,300.87,0.55,0.43,2024-11-14,2,N,VIIRS,n,2.0NRT,287.48,1.4,N
-18.4396,26.51289,304.75,0.33,0.55,2024-11-14,2,N,VIIRS,n,2.0NRT,286.08,1.46,N
-18.43923,26.50959,307.47,0.33,0.55,2024-11-14,2,N,VIIRS,n,2.0NRT,287.02,1.21,N
-18.4243,26.4231,308.47,0.32,0.55,2024-11-14,2,N,VIIRS,n,2.0NRT,289.03,1.94,N
-18.41888,26.46735,307.37,0.33,0.55,2024-11-14,2,N,VIIRS,n,2.0NRT,287.26,0.77,N
-18.41137,26.49329,309.74,0.33,0.55,2024-11-14,2,N,VIIRS,n,2.0NRT,287.34,0.94,N
-18.40247,26.50703,305.08,0.33,0.55,2024-11-14,2,N,VIIRS,n,2.0NRT,286.97,0.9,N
-18.36807,26.47788,313.58,0.33,0.55,2024-11-14,2,N,VIIRS,n,2.0NRT,288.77,1.5,N
-18.36501,26.44958,305.96,0.33,0.55,2024-11-14,2,N,VIIRS,n,2.0NRT,288.3,1.56,N
-18.36055,26.66318,301.44,0.34,0.56,2024-11-14,2,N,VIIRS,n,2.0NRT,286.1,0.66,N
-18.36019,26.66004,303.75,0.34,0.56,2024-11-14,2,N,VIIRS,n,2.0NRT,287.61,0.66,N
-18.33993,26.39011,300.92,0.32,0.55,2024-11-14,2,N,VIIRS,n,2.0NRT,287.61,0.52,N
-18.33791,26.39021,302.58,0.32,0.55,2024-11-14,2,N,VIIRS,n,2.0NRT,287.26,0.44,N
-18.07703,16.37795,302.05,0.4,0.37,2024-11-14,2,N,VIIRS,n,2.0NRT,289.2,0.81,N
-17.93599,15.99254,305.93,0.41,0.37,2024-11-14,2,N,VIIRS,n,2.0NRT,290.78,0.67,N
-17.93258,15.99316,314.93,0.41,0.37,2024-11-14,2,N,VIIRS,n,2.0NRT,290.55,0.66,N
-17.65175,17.0722,301.63,0.39,0.36,2024-11-14,2,N,VIIRS,n,2.0NRT,290.47,0.8,N
-17.20827,12.98199,323.17,0.57,0.43,2024-11-14,2,N,VIIRS,n,2.0NRT,289.43,3.27,N
-17.19122,12.95572,304.31,0.57,0.43,2024-11-14,2,N,VIIRS,n,2.0NRT,291.16,1.03,N
-17.18836,12.98529,314.39,0.57,0.43,2024-11-14,2,N,VIIRS,n,2.0NRT,290.4,2.15,N
-17.18723,12.95641,307.38,0.57,0.43,2024-11-14,2,N,VIIRS,n,2.0NRT,291.33,1.85,N
-17.18624,12.95095,320.7,0.57,0.43,2024-11-14,2,N,VIIRS,n,2.0NRT,290.86,4.21,N
-17.18438,12.98595,312.1,0.57,0.43,2024-11-14,2,N,VIIRS,n,2.0NRT,290.33,1.14,N
-17.18041,12.98668,301.74,0.57,0.43,2024-11-14,2,N,VIIRS,n,2.0NRT,290.16,1.14,N
-17.17645,12.98746,315.71,0.57,0.43,2024-11-14,2,N,VIIRS,n,2.0NRT,289.32,1.97,N
-17.17249,12.98822,316.38,0.57,0.43,2024-11-14,2,N,VIIRS,n,2.0NRT,289.86,1.97,N
-12.93412,14.99092,297.82,0.5,0.41,2024-11-14,2,N,VIIRS,n,2.0NRT,281.32,0.85,N
-12.93036,14.99159,300.71,0.5,0.41,2024-11-14,2,N,VIIRS,n,2.0NRT,283.82,0.75,N
-32.92174,18.04869,329.02,0.48,0.4,2024-11-14,5,N,VIIRS,n,2.0NRT,285.67,4.43,N
-32.9211,18.0435,299.12,0.48,0.4,2024-11-14,5,N,VIIRS,n,2.0NRT,285.77,3.19,N
-32.91738,18.04415,329.5,0.48,0.4,2024-11-14,5,N,VIIRS,n,2.0NRT,289.25,38.7,N
-28.35693,23.51219,299.61,0.56,0.51,2024-11-14,5,N,VIIRS,n,2.0NRT,287.3,1.16,N
-28.29409,27.97714,301.41,0.52,0.67,2024-11-14,5,N,VIIRS,n,2.0NRT,281.75,1.6,N
-28.28783,27.97776,301.61,0.52,0.67,2024-11-14,5,N,VIIRS,n,2.0NRT,281.97,1.97,N
-26.65738,27.81457,311.61,0.49,0.65,2024-11-14,5,N,VIIRS,n,2.0NRT,283.65,2.45,N
-26.54035,29.15923,297.67,0.59,0.7,2024-11-14,5,N,VIIRS,n,2.0NRT,279.23,1.36,N
-26.18187,25.99435,303.58,0.37,0.58,2024-11-14,5,N,VIIRS,n,2.0NRT,288.59,0.66,N
-26.13126,26.18239,299.3,0.38,0.59,2024-11-14,5,N,VIIRS,n,2.0NRT,287.72,0.75,N
-26.13116,26.18419,303.17,0.38,0.59,2024-11-14,5,N,VIIRS,n,2.0NRT,288.54,0.98,N
-25.72685,27.61002,321.68,0.47,0.64,2024-11-14,5,N,VIIRS,n,2.0NRT,286.05,2.37,N
-25.72523,27.61105,314.43,0.47,0.64,2024-11-14,5,N,VIIRS,n,2.0NRT,286.33,1.47,N
-25.71459,27.40301,298.88,0.45,0.63,2024-11-14,5,N,VIIRS,n,2.0NRT,286.24,0.63,N
-25.71162,27.40232,300.97,0.45,0.63,2024-11-14,5,N,VIIRS,n,2.0NRT,286.94,1.08,N
-25.70868,27.40373,300.63,0.45,0.63,2024-11-14,5,N,VIIRS,n,2.0NRT,286.78,0.68,N
-25.66354,27.8382,314.26,0.48,0.65,2024-11-14,5,N,VIIRS,n,2.0NRT,285.63,2.14,N
