latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
51.48286,6.71101,319.98,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,274.95,2.56,N
51.48334,6.70466,322.48,0.44,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,277.04,4.11,N
51.48664,6.71821,337.36,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,277.34,2.56,N
51.48712,6.71189,307.31,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,276.08,2.56,N
51.48944,6.73808,299.62,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,273.43,0.95,N
51.49369,6.73896,309.56,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,275.95,0.95,N
51.50319,6.72792,300.31,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,279.92,1.9,N
51.59351,8.33393,295.62,0.57,0.43,2024-12-01,106,N,VIIRS,n,2.0NRT,272.54,1.9,N
51.61798,8.5069,298.46,0.56,0.43,2024-12-01,106,N,VIIRS,n,2.0NRT,273.24,1.23,N
51.76613,8.05446,295.78,0.39,0.44,2024-12-01,106,N,VIIRS,n,2.0NRT,272.93,0.39,N
52.14919,10.40266,304.56,0.49,0.4,2024-12-01,106,N,VIIRS,n,2.0NRT,269,0.8,N
52.15288,10.40369,335.13,0.49,0.4,2024-12-01,106,N,VIIRS,n,2.0NRT,275.21,8.22,N
52.15657,10.40473,342.51,0.49,0.4,2024-12-01,106,N,VIIRS,n,2.0NRT,275.53,8.22,N
52.16242,10.42104,315.42,0.49,0.4,2024-12-01,106,N,VIIRS,n,2.0NRT,274.38,1.7,N
52.16534,10.42921,302.83,0.48,0.4,2024-12-01,106,N,VIIRS,n,2.0NRT,272,1.13,N
52.20881,8.04909,300.07,0.39,0.44,2024-12-01,106,N,VIIRS,n,2.0NRT,273.47,1.11,N
52.2093,8.04326,304.95,0.39,0.44,2024-12-01,106,N,VIIRS,n,2.0NRT,271.9,1.11,N
52.4673,7.32069,302.86,0.42,0.45,2024-12-01,106,N,VIIRS,n,2.0NRT,273.87,1.24,N
52.46754,7.32072,303.83,0.42,0.45,2024-12-01,106,N,VIIRS,n,2.0NRT,274.18,0.61,N
37.43791,15.02913,312.26,0.48,0.4,2024-12-01,109,N,VIIRS,n,2.0NRT,279.14,2.25,N
37.43867,15.03296,312.67,0.48,0.4,2024-12-01,109,N,VIIRS,n,2.0NRT,280.34,1.12,N
39.0815,9.02068,300.74,0.4,0.37,2024-12-01,109,N,VIIRS,n,2.0NRT,288.49,1.79,N
42.9304,10.53439,301.57,0.4,0.37,2024-12-01,109,N,VIIRS,n,2.0NRT,277.09,0.51,N
45.46143,10.45506,314.49,0.42,0.37,2024-12-01,109,N,VIIRS,n,2.0NRT,274.77,2.02,N
26.03144,11.97724,311.28,0.52,0.42,2024-12-01,111,N,VIIRS,n,2.0NRT,279.54,1.51,N
26.43331,11.85202,307.03,0.51,0.41,2024-12-01,111,N,VIIRS,n,2.0NRT,280.59,0.57,N
26.43386,11.85044,311.01,0.51,0.41,2024-12-01,111,N,VIIRS,n,2.0NRT,281.06,1.28,N
26.56378,12.67925,305.72,0.56,0.43,2024-12-01,111,N,VIIRS,n,2.0NRT,280.67,1.58,N
26.58079,12.20991,306.78,0.53,0.42,2024-12-01,111,N,VIIRS,n,2.0NRT,280.82,1.62,N
26.70117,12.45167,341.31,0.54,0.42,2024-12-01,111,N,VIIRS,n,2.0NRT,279.29,5.8,N
26.75631,12.41474,327.22,0.54,0.42,2024-12-01,111,N,VIIRS,n,2.0NRT,281.93,4.45,N
26.75732,12.40941,296.19,0.54,0.42,2024-12-01,111,N,VIIRS,n,2.0NRT,277.31,3.16,N
27.08041,14.48754,306.52,0.46,0.47,2024-12-01,111,N,VIIRS,n,2.0NRT,279.73,0.93,N
27.14854,8.80387,304.33,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,279.7,1.01,N
27.40824,8.83924,305.24,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,280.66,0.62,N
27.41018,8.83904,307.48,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,280.86,0.66,N
27.45584,9.60472,302.63,0.41,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,278.34,0.72,N
27.61735,9.87053,301.88,0.41,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,277.99,0.9,N
27.63914,9.86671,316.17,0.41,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,278.47,1.7,N
27.66793,9.88062,303.07,0.41,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,278.51,0.55,N
27.70112,9.17491,304.61,0.4,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,276.62,0.49,N
27.70446,9.17562,300.43,0.4,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,277.45,0.49,N
27.73448,9.18204,317.79,0.4,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,276.59,1.44,N
27.73515,9.17807,311.22,0.4,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,276.44,1.79,N
27.74244,9.91833,330.09,0.41,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,278.58,3.18,N
27.74981,9.15234,327.12,0.4,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,279.1,4.19,N
27.76385,9.1924,331.93,0.4,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,277.78,2.55,N
27.79942,0.46071,298.75,0.49,0.49,2024-12-01,111,N,VIIRS,n,2.0NRT,280.38,0.42,N
27.80835,22.43672,295.87,0.64,0.72,2024-12-01,111,N,VIIRS,n,2.0NRT,279.98,1.14,N
27.81009,22.43032,299.49,0.64,0.72,2024-12-01,111,N,VIIRS,n,2.0NRT,279.7,1.86,N
27.81484,22.43899,299.7,0.64,0.72,2024-12-01,111,N,VIIRS,n,2.0NRT,279.66,1.9,N
27.81658,22.43257,312.16,0.64,0.72,2024-12-01,111,N,VIIRS,n,2.0NRT,280.07,3.09,N
27.9236,9.24888,324.63,0.4,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,279.36,1.55,N
27.92694,9.1055,303.45,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,280.29,1.13,N
27.92694,9.2496,310.97,0.4,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,278.63,0.57,N
27.93153,8.37339,302.03,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,280.32,0.77,N
27.98387,22.32631,344.44,0.63,0.72,2024-12-01,111,N,VIIRS,n,2.0NRT,280.97,7.89,N
27.98557,22.31999,309.06,0.63,0.72,2024-12-01,111,N,VIIRS,n,2.0NRT,280.21,7.64,N
27.98747,22.32713,351.22,0.63,0.72,2024-12-01,111,N,VIIRS,n,2.0NRT,282.36,5.68,N
27.9892,22.32084,301.19,0.63,0.72,2024-12-01,111,N,VIIRS,n,2.0NRT,280.16,5.68,N
28.11542,0.30461,308.05,0.51,0.49,2024-12-01,111,N,VIIRS,n,2.0NRT,283.69,0.92,N
28.11564,0.30351,302.47,0.51,0.49,2024-12-01,111,N,VIIRS,n,2.0NRT,283.54,1.24,N
28.69136,22.37559,324.24,0.61,0.71,2024-12-01,111,N,VIIRS,n,2.0NRT,279.97,2.53,N
28.69772,22.3778,320.81,0.61,0.71,2024-12-01,111,N,VIIRS,n,2.0NRT,280.67,2.18,N
28.70338,21.38452,297.62,0.53,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,281.72,1.79,N
28.70569,21.38498,295.39,0.53,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,281.68,1.53,N
28.71033,21.45804,296.53,0.54,0.68,2024-12-01,111,N,VIIRS,n,2.0NRT,282.13,2.94,N
28.71087,21.38117,322.82,0.53,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,283.21,3.39,N
28.71178,21.45259,346.24,0.54,0.68,2024-12-01,111,N,VIIRS,n,2.0NRT,284.41,6.63,N
28.75892,19.64522,340.7,0.42,0.61,2024-12-01,111,N,VIIRS,n,2.0NRT,280.57,3.1,N
28.76442,19.64709,343,0.42,0.61,2024-12-01,111,N,VIIRS,n,2.0NRT,282.32,3.1,N
28.78528,22.46285,298.31,0.61,0.71,2024-12-01,111,N,VIIRS,n,2.0NRT,279.8,1.07,N
28.81933,22.26122,300.48,0.6,0.7,2024-12-01,111,N,VIIRS,n,2.0NRT,279.85,1.42,N
28.83022,21.32364,305.13,0.53,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,281.17,1.45,N
28.83112,21.32319,307.87,0.53,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,281.5,1.41,N
28.83501,22.12337,295.29,0.58,0.7,2024-12-01,111,N,VIIRS,n,2.0NRT,280.16,0.94,N
28.87013,21.22197,338.41,0.52,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,281.98,3.57,N
